OK
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             461
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             462
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             463
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    5     6     3347    htop             469
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    5     6     3347    htop             470
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    5     6     3347    htop             471
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    5     6     3347    htop             472
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    5     6     3347    htop             473
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    5     6     3347    htop             474
11:02:53 OPEN    6     -2    3347    htop             task
11:02:53 OPEN    6     7     3347    htop             statm
11:02:53 OPEN    6     7     3347    htop             stat
11:02:53 OPEN    6     7     3347    htop             cmdline
11:02:53 OPEN    6     7     3347    htop             comm
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    4     5     3347    htop             comm
11:02:53 OPEN    3     4     3347    htop             468
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    4     5     3347    htop             comm
11:02:53 OPEN    3     4     3347    htop             532
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    4     5     3347    htop             statm
11:02:53 OPEN    4     5     3347    htop             stat
11:02:53 OPEN    4     5     3347    htop             cmdline
11:02:53 OPEN    3     4     3347    htop             589
11:02:53 OPEN    4     5     3347    htop             task
11:02:53 OPEN    5     6     3347    htop             598
